config_id,airframe_id,airframe,purchase_type,airframe_mass_g,prop_in,wheelbase_mm,battery,chemistry,cells_s,capacity_mah,pack_voltage_v,usable_dod,battery_mass_g,battery_energy_wh,usable_energy_wh,thermal_id,thermal_name,thermal_mass_g,thermal_power_w,sbc_id,sbc_name,sbc_mass_g,sbc_power_w,dvr_id,dvr_name,dvr_mass_g,dvr_power_w,vtx_id,vtx_name,vtx_source,vtx_mass_g,vtx_power_w,fpv_id,fpv_name,fpv_source,fpv_mass_g,fpv_power_w,gps_id,gps_name,gps_source,gps_mass_g,gps_power_w,rx_id,rx_name,rx_source,rx_mass_g,rx_power_w,added_payload_mass_g,total_payload_power_w,all_up_mass_g,hover_power_w,cruise_power_w,headwind_power_w,max_flight_time_hover_min,flight_time_cruise_min,flight_time_headwind_min,hover_throttle_pct,meets_r6_30min,meets_r8_60min,flyable,sbc_dims_mm,deck_lxw_mm,deck_margin_mm,battery_mount,battery_lwh_mm,payload_capacity_g,payload_weight_g,sbc_fits_deck,sbc_fit_status,payload_weight_ok,physical_fit_note,airframe_cost_usd,battery_cost_usd,thermal_cost_usd,sbc_cost_usd,dvr_cost_usd,vtx_cost_usd,fpv_cost_usd,gps_cost_usd,rx_cost_usd,drone_cost_usd,video_format,gcs_vrx_name,gcs_vrx_cost,gcs_cost_usd,total_system_cost_usd,endurance_per_1000usd,meets_budget_r4
C000025,AF4a,DarwinFPV X9,PNP,747.0,9.0,363.0,Lumenier NAV 12000mAh 6S 21700 Amprius,Li-ion,6,12000.0,22.2,0.85,920.0,266.4,226.4,T13,PurpleRiver Mini 640,21.0,0.8,SBC3,NanoPi M5 (4 GB),80.0,10.0,—,(none — SBC records),0.0,0.0,included,bundled with airframe,included,0.0,4.5,included,bundled with airframe,included,0.0,0.75,G6,TBS M10 GPS,external,4.0,0.2,GEPRCNanoPA100,GEPRC ELRS Nano 2.4G PA100,external,0.7,0.55,105.7,16.8,1772.7,236.6,230.5,192.1,57.4,58.9,70.7,13.7,True,False,True,90x62,100x60,-2.0,top,125x40x70,5745.0,1025.7,False,marginal,True,"marginal: SBC 90x62 vs deck 100x60 mm (-2 mm) — snug/custom deck, slight overhang",311.99,321.49,650.0,126.0,0.0,0.0,0.0,32.0,14.99,1456.47,CVBS,Skydroid 150CH 5.8GHz True-Diversity UVC Receiver,44.45,175.45,1631.92,35.19,True
C000026,AF4a,DarwinFPV X9,PNP,747.0,9.0,363.0,Upgrade Energy GREEN V2 6S3P 12Ah Amprius SA10,Li-ion,6,12000.0,21.6,0.85,919.0,259.2,220.3,T13,PurpleRiver Mini 640,21.0,0.8,SBC3,NanoPi M5 (4 GB),80.0,10.0,—,(none — SBC records),0.0,0.0,included,bundled with airframe,included,0.0,4.5,included,bundled with airframe,included,0.0,0.75,G6,TBS M10 GPS,external,4.0,0.2,GEPRCNanoPA100,GEPRC ELRS Nano 2.4G PA100,external,0.7,0.55,105.7,16.8,1771.7,236.4,230.3,191.9,55.9,57.4,68.9,13.6,True,False,True,90x62,100x60,-2.0,top,110x35x65,5745.0,1024.7,False,marginal,True,"marginal: SBC 90x62 vs deck 100x60 mm (-2 mm) — snug/custom deck, slight overhang",311.99,275.0,650.0,126.0,0.0,0.0,0.0,32.0,14.99,1409.98,CVBS,Skydroid 150CH 5.8GHz True-Diversity UVC Receiver,44.45,175.45,1585.43,35.27,True
C000027,AF4a,DarwinFPV X9,PNP,747.0,9.0,363.0,Pyrodrone Hyperjuice 6S2P 6000mAh Sony VTC6,Li-ion,6,6000.0,22.2,0.85,590.0,133.2,113.2,T13,PurpleRiver Mini 640,21.0,0.8,SBC3,NanoPi M5 (4 GB),80.0,10.0,—,(none — SBC records),0.0,0.0,included,bundled with airframe,included,0.0,4.5,included,bundled with airframe,included,0.0,0.75,G6,TBS M10 GPS,external,4.0,0.2,GEPRCNanoPA100,GEPRC ELRS Nano 2.4G PA100,external,0.7,0.55,105.7,16.8,1442.7,178.2,172.7,140.4,38.1,39.3,48.4,11.1,True,False,True,90x62,100x60,-2.0,top,110x35x65,5745.0,695.7,False,marginal,True,"marginal: SBC 90x62 vs deck 100x60 mm (-2 mm) — snug/custom deck, slight overhang",311.99,172.99,650.0,126.0,0.0,0.0,0.0,32.0,14.99,1307.97,CVBS,Skydroid 150CH 5.8GHz True-Diversity UVC Receiver,44.45,175.45,1483.42,25.7,True
C000028,AF4a,DarwinFPV X9,PNP,747.0,9.0,363.0,iFlight Fullsend 6S2P 6000mAh Samsung 30Q,Li-ion,6,6000.0,22.2,0.85,608.0,133.2,113.2,T13,PurpleRiver Mini 640,21.0,0.8,SBC3,NanoPi M5 (4 GB),80.0,10.0,—,(none — SBC records),0.0,0.0,included,bundled with airframe,included,0.0,4.5,included,bundled with airframe,included,0.0,0.75,G6,TBS M10 GPS,external,4.0,0.2,GEPRCNanoPA100,GEPRC ELRS Nano 2.4G PA100,external,0.7,0.55,105.7,16.8,1460.7,181.2,175.7,143.0,37.5,38.7,47.5,11.3,True,False,True,90x62,100x60,-2.0,top,110x35x65,5745.0,713.7,False,marginal,True,"marginal: SBC 90x62 vs deck 100x60 mm (-2 mm) — snug/custom deck, slight overhang",311.99,84.47,650.0,126.0,0.0,0.0,0.0,32.0,14.99,1219.45,CVBS,Skydroid 150CH 5.8GHz True-Diversity UVC Receiver,44.45,175.45,1394.9,26.88,True
C000029,AF4a,DarwinFPV X9,PNP,747.0,9.0,363.0,Lumenier NAV 6000mAh 6S 18650,Li-ion,6,6000.0,22.2,0.85,635.0,133.2,113.2,T13,PurpleRiver Mini 640,21.0,0.8,SBC3,NanoPi M5 (4 GB),80.0,10.0,—,(none — SBC records),0.0,0.0,included,bundled with airframe,included,0.0,4.5,included,bundled with airframe,included,0.0,0.75,G6,TBS M10 GPS,external,4.0,0.2,GEPRCNanoPA100,GEPRC ELRS Nano 2.4G PA100,external,0.7,0.55,105.7,16.8,1487.7,185.8,180.2,147.0,36.6,37.7,46.2,11.5,True,False,True,90x62,100x60,-2.0,top,110x35x65,5745.0,740.7,False,marginal,True,"marginal: SBC 90x62 vs deck 100x60 mm (-2 mm) — snug/custom deck, slight overhang",311.99,188.99,650.0,126.0,0.0,0.0,0.0,32.0,14.99,1323.97,CVBS,Skydroid 150CH 5.8GHz True-Diversity UVC Receiver,44.45,175.45,1499.42,24.39,True
C000030,AF4a,DarwinFPV X9,PNP,747.0,9.0,363.0,Lumenier NAV 5000mAh 6S 21700,Li-ion,6,5000.0,22.2,0.85,499.0,111.0,94.3,T13,PurpleRiver Mini 640,21.0,0.8,SBC3,NanoPi M5 (4 GB),80.0,10.0,—,(none — SBC records),0.0,0.0,included,bundled with airframe,included,0.0,4.5,included,bundled with airframe,included,0.0,0.75,G6,TBS M10 GPS,external,4.0,0.2,GEPRCNanoPA100,GEPRC ELRS Nano 2.4G PA100,external,0.7,0.55,105.7,16.8,1351.7,163.1,157.9,127.3,34.7,35.9,44.5,10.4,True,False,True,90x62,100x60,-2.0,top,125x20x70,5745.0,604.7,False,marginal,True,"marginal: SBC 90x62 vs deck 100x60 mm (-2 mm) — snug/custom deck, slight overhang",311.99,95.99,650.0,126.0,0.0,0.0,0.0,32.0,14.99,1230.97,CVBS,Skydroid 150CH 5.8GHz True-Diversity UVC Receiver,44.45,175.45,1406.42,24.67,True
C000031,AF4a,DarwinFPV X9,PNP,747.0,9.0,363.0,Upgrade Energy RED V3 6S1P 5Ah Molicel P50B,Li-ion,6,5000.0,21.6,0.85,432.0,108.0,91.8,T13,PurpleRiver Mini 640,21.0,0.8,SBC3,NanoPi M5 (4 GB),80.0,10.0,—,(none — SBC records),0.0,0.0,included,bundled with airframe,included,0.0,4.5,included,bundled with airframe,included,0.0,0.75,G6,TBS M10 GPS,external,4.0,0.2,GEPRCNanoPA100,GEPRC ELRS Nano 2.4G PA100,external,0.7,0.55,105.7,16.8,1284.7,152.4,147.3,118.1,36.1,37.4,46.6,9.9,True,False,True,90x62,100x60,-2.0,top,125x20x70,5745.0,537.7,False,marginal,True,"marginal: SBC 90x62 vs deck 100x60 mm (-2 mm) — snug/custom deck, slight overhang",311.99,119.0,650.0,126.0,0.0,0.0,0.0,32.0,14.99,1253.98,CVBS,Skydroid 150CH 5.8GHz True-Diversity UVC Receiver,44.45,175.45,1429.43,25.28,True
C000032,AF4a,DarwinFPV X9,PNP,747.0,9.0,363.0,DOGCOM 6S1P 5000mAh Samsung 50S,Li-ion,6,5000.0,22.2,0.85,445.0,111.0,94.3,T13,PurpleRiver Mini 640,21.0,0.8,SBC3,NanoPi M5 (4 GB),80.0,10.0,—,(none — SBC records),0.0,0.0,included,bundled with airframe,included,0.0,4.5,included,bundled with airframe,included,0.0,0.75,G6,TBS M10 GPS,external,4.0,0.2,GEPRCNanoPA100,GEPRC ELRS Nano 2.4G PA100,external,0.7,0.55,105.7,16.8,1297.7,154.5,149.3,119.9,36.7,37.9,47.2,10.0,True,False,True,90x62,100x60,-2.0,top,125x20x70,5745.0,550.7,False,marginal,True,"marginal: SBC 90x62 vs deck 100x60 mm (-2 mm) — snug/custom deck, slight overhang",311.99,50.0,650.0,126.0,0.0,0.0,0.0,32.0,14.99,1184.98,CVBS,Skydroid 150CH 5.8GHz True-Diversity UVC Receiver,44.45,175.45,1360.43,26.94,True
C000033,AF4a,DarwinFPV X9,PNP,747.0,9.0,363.0,GNB (Gaoneng) 6S3P 12Ah 21700 Li-ion,Li-ion,6,12000.0,22.2,0.85,1250.0,266.4,226.4,T13,PurpleRiver Mini 640,21.0,0.8,SBC3,NanoPi M5 (4 GB),80.0,10.0,—,(none — SBC records),0.0,0.0,included,bundled with airframe,included,0.0,4.5,included,bundled with airframe,included,0.0,0.75,G6,TBS M10 GPS,external,4.0,0.2,GEPRCNanoPA100,GEPRC ELRS Nano 2.4G PA100,external,0.7,0.55,105.7,16.8,2102.7,300.7,294.1,250.3,45.2,46.2,54.3,16.2,True,False,True,90x62,100x60,-2.0,top,130x81x65,5745.0,1355.7,False,marginal,True,"marginal: SBC 90x62 vs deck 100x60 mm (-2 mm) — snug/custom deck, slight overhang",311.99,110.0,650.0,126.0,0.0,0.0,0.0,32.0,14.99,1244.98,CVBS,Skydroid 150CH 5.8GHz True-Diversity UVC Receiver,44.45,175.45,1420.43,31.81,True
C000034,AF4a,DarwinFPV X9,PNP,747.0,9.0,363.0,Tattu G-Tech 6S 12Ah LiPo 30C,LiPo,6,12000.0,22.2,0.85,1532.0,266.4,226.4,T13,PurpleRiver Mini 640,21.0,0.8,SBC3,NanoPi M5 (4 GB),80.0,10.0,—,(none — SBC records),0.0,0.0,included,bundled with airframe,included,0.0,4.5,included,bundled with airframe,included,0.0,0.75,G6,TBS M10 GPS,external,4.0,0.2,GEPRCNanoPA100,GEPRC ELRS Nano 2.4G PA100,external,0.7,0.55,105.7,16.8,2384.7,359.7,352.6,304.7,37.8,38.5,44.6,18.4,True,False,True,90x62,100x60,-2.0,top,190x71x54,5745.0,1637.7,False,marginal,True,"marginal: SBC 90x62 vs deck 100x60 mm (-2 mm) — snug/custom deck, slight overhang",311.99,149.99,650.0,126.0,0.0,0.0,0.0,32.0,14.99,1284.97,CVBS,Skydroid 150CH 5.8GHz True-Diversity UVC Receiver,44.45,175.45,1460.42,25.86,True
