ID,Model,Resolution (Px),Pixel Pitch (µm),NETD (mK),Frame Rate (fps),Lens (mm),HFOV (°),Output Interface,Radiometric,Weight (g),Power (W),Cost (USD),CVBS Native,USB Native,GSD @90m (cm/px),Cov @90m (m × m),R3_CAM_RES 0.5m@90m (px),R3_CAM_RES @90m (≥4px?),White-Tailed Deer Ln@90m (px),White-Tailed Deer Wi@90m (px),White-Tailed Deer Min@90m (px),White-Tailed Deer Johnson@90m,White-Tailed Deer Thermal@90m,Turkey Ln@90m (px),Turkey Wi@90m (px),Turkey Min@90m (px),Turkey Johnson@90m,Turkey Thermal@90m,Human (Standing) Ln@90m (px),Human (Standing) Wi@90m (px),Human (Standing) Min@90m (px),Human (Standing) Johnson@90m,Human (Standing) Thermal@90m,Coyote / Fox Ln@90m (px),Coyote / Fox Wi@90m (px),Coyote / Fox Min@90m (px),Coyote / Fox Johnson@90m,Coyote / Fox Thermal@90m,Raccoon / Opossum Ln@90m (px),Raccoon / Opossum Wi@90m (px),Raccoon / Opossum Min@90m (px),Raccoon / Opossum Johnson@90m,Raccoon / Opossum Thermal@90m,GSD @120m (cm/px),Cov @120m (m × m),R3_CAM_RES 0.5m@120m (px),R3_CAM_RES @120m (≥4px?),White-Tailed Deer Ln@120m (px),White-Tailed Deer Wi@120m (px),White-Tailed Deer Min@120m (px),White-Tailed Deer Johnson@120m,White-Tailed Deer Thermal@120m,Turkey Ln@120m (px),Turkey Wi@120m (px),Turkey Min@120m (px),Turkey Johnson@120m,Turkey Thermal@120m,Human (Standing) Ln@120m (px),Human (Standing) Wi@120m (px),Human (Standing) Min@120m (px),Human (Standing) Johnson@120m,Human (Standing) Thermal@120m,Coyote / Fox Ln@120m (px),Coyote / Fox Wi@120m (px),Coyote / Fox Min@120m (px),Coyote / Fox Johnson@120m,Coyote / Fox Thermal@120m,Raccoon / Opossum Ln@120m (px),Raccoon / Opossum Wi@120m (px),Raccoon / Opossum Min@120m (px),Raccoon / Opossum Johnson@120m,Raccoon / Opossum Thermal@120m,Radxa ZERO 2 Pro Compat,Radxa ZERO 2 Pro NPU Load Margin (×),Orange Pi 5 (8 GB) Compat,Orange Pi 5 (8 GB) NPU Load Margin (×),NanoPi M5 (4 GB) Compat,NanoPi M5 (4 GB) NPU Load Margin (×),R3.1 Pass @120m (deer det),R3.2 Pass @90m (deer class),Affordable?,Notes
T10_9.1,Generic 640×512 (9.1mm),640×512,12,40,25,9.1,45.8,CVBS + USB + UART,Yes,21,0.75,550,Yes,Yes,11.87,76.0 × 57.0,4.21,PASS,11.8,4.2,4.2,Detection,Adequate,5.9,2.5,2.5,Marginal Detection,Marginal,5.1,4.2,4.2,Detection,Marginal,5.9,2.1,2.1,Marginal Detection,Marginal,3.4,1.7,1.7,Insufficient,Marginal,15.82,101.4 × 76.1,3.16,FAIL,8.8,3.2,3.2,Marginal Detection,Adequate,4.4,1.9,1.9,Insufficient,Marginal,3.8,3.2,3.2,Marginal Detection,Marginal,4.4,1.6,1.6,Insufficient,Marginal,2.5,1.3,1.3,Insufficient,Marginal,Yes,12207.0,Yes,14648.4,Yes,14648.4,FAIL,FAIL,Yes,9.1mm lens variant
T10_13,Generic 640×512 (13mm),640×512,12,40,25,13,32.9,CVBS + USB + UART,Yes,21,0.75,550,Yes,Yes,8.31,53.1 × 39.8,6.02,PASS,16.9,6.0,6.0,Detection,Adequate,8.4,3.6,3.6,Marginal Detection,Marginal,7.2,6.0,6.0,Detection,Marginal,8.4,3.0,3.0,Marginal Detection,Marginal,4.8,2.4,2.4,Marginal Detection,Marginal,11.08,70.9 × 53.2,4.51,PASS,12.6,4.5,4.5,Detection,Adequate,6.3,2.7,2.7,Marginal Detection,Marginal,5.4,4.5,4.5,Detection,Marginal,6.3,2.3,2.3,Marginal Detection,Marginal,3.6,1.8,1.8,Insufficient,Marginal,Yes,12207.0,Yes,14648.4,Yes,14648.4,PASS,Detection only,Yes,13mm lens variant
T10_15,Generic 640×512 (15mm),640×512,12,40,25,15,28.7,CVBS + USB + UART,Yes,21,0.75,550,Yes,Yes,7.2,46.0 × 34.5,6.94,PASS,19.4,6.9,6.9,Detection,Adequate,9.7,4.2,4.2,Detection,Marginal,8.3,6.9,6.9,Detection,Marginal,9.7,3.5,3.5,Marginal Detection,Marginal,5.6,2.8,2.8,Marginal Detection,Marginal,9.6,61.4 × 46.0,5.21,PASS,14.6,5.2,5.2,Detection,Adequate,7.3,3.1,3.1,Marginal Detection,Marginal,6.2,5.2,5.2,Detection,Marginal,7.3,2.6,2.6,Marginal Detection,Marginal,4.2,2.1,2.1,Marginal Detection,Marginal,Yes,12207.0,Yes,14648.4,Yes,14648.4,PASS,Detection only,Yes,15mm lens variant
T10_19,Generic 640×512 (19mm),640×512,12,40,25,19,22.9,CVBS + USB + UART,Yes,21,0.75,550,Yes,Yes,5.68,36.5 × 27.4,8.8,PASS,24.6,8.8,8.8,Recognition,Adequate,12.3,5.3,5.3,Detection,Marginal,10.6,8.8,8.8,Recognition,Marginal,12.3,4.4,4.4,Detection,Marginal,7.0,3.5,3.5,Marginal Detection,Marginal,7.58,48.6 × 36.5,6.6,PASS,18.5,6.6,6.6,Detection,Adequate,9.2,4.0,4.0,Detection,Marginal,7.9,6.6,6.6,Detection,Marginal,9.2,3.3,3.3,Marginal Detection,Marginal,5.3,2.6,2.6,Marginal Detection,Marginal,Yes,12207.0,Yes,14648.4,Yes,14648.4,PASS,PASS,Yes,19mm lens variant
T10_25,Generic 640×512 (25mm),640×512,12,40,25,25,17.5,CVBS + USB + UART,Yes,21,0.75,600,Yes,Yes,4.32,27.7 × 20.8,11.57,PASS,32.4,11.6,11.6,Recognition,Adequate,16.2,6.9,6.9,Detection,Marginal,13.9,11.6,11.6,Recognition,Marginal,16.2,5.8,5.8,Detection,Marginal,9.3,4.6,4.6,Detection,Marginal,5.76,36.9 × 27.7,8.68,PASS,24.3,8.7,8.7,Recognition,Adequate,12.2,5.2,5.2,Detection,Marginal,10.4,8.7,8.7,Recognition,Marginal,12.2,4.3,4.3,Detection,Marginal,6.9,3.5,3.5,Marginal Detection,Marginal,Yes,12207.0,Yes,14648.4,Yes,14648.4,PASS,PASS,Yes,25mm lens - max useful telephoto
T11,Axisflying 640,640×512,12,40,60,9,46,CVBS analog,Yes,25,1.0,450,Yes,No,12.0,76.4 × 57.3,4.17,PASS,11.7,4.2,4.2,Detection,Adequate,5.8,2.5,2.5,Marginal Detection,Marginal,5.0,4.2,4.2,Detection,Marginal,5.8,2.1,2.1,Marginal Detection,Marginal,3.3,1.7,1.7,Insufficient,Marginal,16.0,101.9 × 76.4,3.12,FAIL,8.8,3.1,3.1,Marginal Detection,Adequate,4.4,1.9,1.9,Insufficient,Marginal,3.8,3.1,3.1,Marginal Detection,Marginal,4.4,1.6,1.6,Insufficient,Marginal,2.5,1.2,1.2,Insufficient,Marginal,Yes,5086.3,Yes,6103.5,Yes,6103.5,FAIL,FAIL,Yes,60fps; CVBS only; FPV-ready
T12_9.1,iVcan Mini-640-CVBS (9.1mm),640×512,12,40,50,9.1,45.8,CVBS + USB + UART,Yes,21,0.75,550,Yes,Yes,11.87,76.0 × 57.0,4.21,PASS,11.8,4.2,4.2,Detection,Adequate,5.9,2.5,2.5,Marginal Detection,Marginal,5.1,4.2,4.2,Detection,Marginal,5.9,2.1,2.1,Marginal Detection,Marginal,3.4,1.7,1.7,Insufficient,Marginal,15.82,101.4 × 76.1,3.16,FAIL,8.8,3.2,3.2,Marginal Detection,Adequate,4.4,1.9,1.9,Insufficient,Marginal,3.8,3.2,3.2,Marginal Detection,Marginal,4.4,1.6,1.6,Insufficient,Marginal,2.5,1.3,1.3,Insufficient,Marginal,Yes,6103.5,Yes,7324.2,Yes,7324.2,FAIL,FAIL,Yes,9.1mm lens; OEM-grade; documented SDK
T12_13,iVcan Mini-640-CVBS (13mm),640×512,12,40,50,13,32.9,CVBS + USB + UART,Yes,21,0.75,550,Yes,Yes,8.31,53.1 × 39.8,6.02,PASS,16.9,6.0,6.0,Detection,Adequate,8.4,3.6,3.6,Marginal Detection,Marginal,7.2,6.0,6.0,Detection,Marginal,8.4,3.0,3.0,Marginal Detection,Marginal,4.8,2.4,2.4,Marginal Detection,Marginal,11.08,70.9 × 53.2,4.51,PASS,12.6,4.5,4.5,Detection,Adequate,6.3,2.7,2.7,Marginal Detection,Marginal,5.4,4.5,4.5,Detection,Marginal,6.3,2.3,2.3,Marginal Detection,Marginal,3.6,1.8,1.8,Insufficient,Marginal,Yes,6103.5,Yes,7324.2,Yes,7324.2,PASS,Detection only,Yes,13mm lens; OEM-grade; documented SDK
T13_9.1,PurpleRiver Mini 640 (9.1mm),640×512,12,50,25,9.1,45.8,CVBS + USB,Yes,21,0.8,450,Yes,Yes,11.87,76.0 × 57.0,4.21,PASS,11.8,4.2,4.2,Detection,Marginal,5.9,2.5,2.5,Marginal Detection,Marginal,5.1,4.2,4.2,Detection,Marginal,5.9,2.1,2.1,Marginal Detection,Marginal,3.4,1.7,1.7,Insufficient,Marginal,15.82,101.4 × 76.1,3.16,FAIL,8.8,3.2,3.2,Marginal Detection,Marginal,4.4,1.9,1.9,Insufficient,Marginal,3.8,3.2,3.2,Marginal Detection,Marginal,4.4,1.6,1.6,Insufficient,Marginal,2.5,1.3,1.3,Insufficient,Marginal,Yes,12207.0,Yes,14648.4,Yes,14648.4,FAIL,FAIL,Yes,9.1mm lens; factory-direct Chinese
T13_13,PurpleRiver Mini 640 (13mm),640×512,12,50,25,13,32.9,CVBS + USB,Yes,21,0.8,450,Yes,Yes,8.31,53.1 × 39.8,6.02,PASS,16.9,6.0,6.0,Detection,Marginal,8.4,3.6,3.6,Marginal Detection,Marginal,7.2,6.0,6.0,Detection,Marginal,8.4,3.0,3.0,Marginal Detection,Marginal,4.8,2.4,2.4,Marginal Detection,Marginal,11.08,70.9 × 53.2,4.51,PASS,12.6,4.5,4.5,Detection,Marginal,6.3,2.7,2.7,Marginal Detection,Marginal,5.4,4.5,4.5,Detection,Marginal,6.3,2.3,2.3,Marginal Detection,Marginal,3.6,1.8,1.8,Insufficient,Marginal,Yes,12207.0,Yes,14648.4,Yes,14648.4,PASS,Detection only,Yes,13mm lens; factory-direct Chinese
T14,Arducam 640×512 USB,640×512,12,40,50,9.1,46,USB UVC,Yes,40,1.5,650,No,Yes,11.87,76.4 × 57.3,4.21,PASS,11.8,4.2,4.2,Detection,Adequate,5.9,2.5,2.5,Marginal Detection,Marginal,5.1,4.2,4.2,Detection,Marginal,5.9,2.1,2.1,Marginal Detection,Marginal,3.4,1.7,1.7,Insufficient,Marginal,15.82,101.9 × 76.4,3.16,FAIL,8.8,3.2,3.2,Marginal Detection,Adequate,4.4,1.9,1.9,Insufficient,Marginal,3.8,3.2,3.2,Marginal Detection,Marginal,4.4,1.6,1.6,Insufficient,Marginal,2.5,1.3,1.3,Insufficient,Marginal,Yes,6103.5,Yes,7324.2,Yes,7324.2,FAIL,FAIL,No (over $600 budget),UVC plug-and-play; no CVBS for FPV
T15,Seek Thermal Mosaic 320,320×240,12,70,32,Fixed,56,USB / UART,Yes,25,1.0,400,No,Yes,99900,95.7 × 71.8,0.0,FAIL,0.0,0.0,0.0,Insufficient,Marginal,0.0,0.0,0.0,Insufficient,Poor,0.0,0.0,0.0,Insufficient,Marginal,0.0,0.0,0.0,Insufficient,Marginal,0.0,0.0,0.0,Insufficient,Poor,99900,127.6 × 95.7,0.0,FAIL,0.0,0.0,0.0,Insufficient,Marginal,0.0,0.0,0.0,Insufficient,Poor,0.0,0.0,0.0,Insufficient,Marginal,0.0,0.0,0.0,Insufficient,Marginal,0.0,0.0,0.0,Insufficient,Poor,Yes,40690.1,Yes,48828.1,Yes,48828.1,FAIL,FAIL,Yes,Made in USA; thermal CMOS; SDK available
T16_9,FLIR Boson 640 (9mm),640×512,12,30,60,9,46.2,CMOS/UART (needs interface),Yes,13,0.5,1800,No,No,12.0,76.8 × 57.6,4.17,PASS,11.7,4.2,4.2,Detection,Adequate,5.8,2.5,2.5,Marginal Detection,Adequate,5.0,4.2,4.2,Detection,Adequate,5.8,2.1,2.1,Marginal Detection,Adequate,3.3,1.7,1.7,Insufficient,Marginal,16.0,102.4 × 76.8,3.12,FAIL,8.8,3.1,3.1,Marginal Detection,Adequate,4.4,1.9,1.9,Insufficient,Adequate,3.8,3.1,3.1,Marginal Detection,Adequate,4.4,1.6,1.6,Insufficient,Adequate,2.5,1.2,1.2,Insufficient,Marginal,No (needs interface board),5086.3,No (needs interface board),6103.5,No (needs interface board),6103.5,FAIL,FAIL,No (over $600 budget),Benchmark only; $1800 over budget
T16_13,FLIR Boson 640 (13mm),640×512,12,30,60,13,32.9,CMOS/UART (needs interface),Yes,13,0.5,1800,No,No,8.31,53.1 × 39.8,6.02,PASS,16.9,6.0,6.0,Detection,Adequate,8.4,3.6,3.6,Marginal Detection,Adequate,7.2,6.0,6.0,Detection,Adequate,8.4,3.0,3.0,Marginal Detection,Adequate,4.8,2.4,2.4,Marginal Detection,Marginal,11.08,70.9 × 53.2,4.51,PASS,12.6,4.5,4.5,Detection,Adequate,6.3,2.7,2.7,Marginal Detection,Adequate,5.4,4.5,4.5,Detection,Adequate,6.3,2.3,2.3,Marginal Detection,Adequate,3.6,1.8,1.8,Insufficient,Marginal,No (needs interface board),5086.3,No (needs interface board),6103.5,No (needs interface board),6103.5,PASS,Detection only,No (over $600 budget),Benchmark only; $1800 over budget
T16_19,FLIR Boson 640 (19mm),640×512,12,30,60,19,22.9,CMOS/UART (needs interface),Yes,13,0.5,1800,No,No,5.68,36.5 × 27.4,8.8,PASS,24.6,8.8,8.8,Recognition,Adequate,12.3,5.3,5.3,Detection,Adequate,10.6,8.8,8.8,Recognition,Adequate,12.3,4.4,4.4,Detection,Adequate,7.0,3.5,3.5,Marginal Detection,Marginal,7.58,48.6 × 36.5,6.6,PASS,18.5,6.6,6.6,Detection,Adequate,9.2,4.0,4.0,Detection,Adequate,7.9,6.6,6.6,Detection,Adequate,9.2,3.3,3.3,Marginal Detection,Adequate,5.3,2.6,2.6,Marginal Detection,Marginal,No (needs interface board),5086.3,No (needs interface board),6103.5,No (needs interface board),6103.5,PASS,PASS,No (over $600 budget),Benchmark only; $1800 over budget
